base_gmrl,base_len,time_model,time_database,time_validate,time_plan,time_train,time_search,time_base,time_train_batch_update,time_train_predict,time_train_train,time_train_use_generated
0.7317807913835306,76,925.7614908218384,932.2943956851959,,235.5625183582306,690.0939681529999,16.107240438461304,0.22969484329223633,570.4456458091736,28.524678468704224,86.11455535888672,0.15115022659301758
0.671774628750106,78,678.1022324562073,472.8408772945404,,27.784744262695312,650.231894493103,16.52366852760315,0.09436607360839844,541.0984439849854,29.1321861743927,74.80937361717224,0.1645219326019287
0.6314500849609882,78,706.9859964847565,627.6185357570648,428.9308965206146,30.572460889816284,676.2922434806824,18.98234272003174,0.18909025192260742,551.3121056556702,33.31910586357117,85.72030186653137,0.15891695022583008
0.5994139427101789,78,666.237895488739,514.2973492145538,,26.14391326904297,639.9666032791138,15.177433013916016,0.13530254364013672,538.9926717281342,27.793190240859985,68.93751764297485,0.15880060195922852
0.5770353751561064,78,650.4611666202545,344.60020637512207,,28.771394729614258,621.5948204994202,17.650657892227173,0.09537625312805176,516.9089641571045,29.062891721725464,71.55793023109436,0.16085481643676758
0.5594380051909127,78,703.6602153778076,358.870267868042,,31.477689743041992,671.964536190033,19.84456515312195,0.09534478187561035,559.8199789524078,28.945825576782227,77.82903790473938,0.14880728721618652
0.5356540426948261,78,701.5974762439728,226.21855640411377,257.72850728034973,29.812692880630493,671.696855545044,18.021259784698486,0.18114137649536133,539.8335638046265,32.57263684272766,93.46467924118042,0.16182875633239746
0.5213322162575268,78,667.8854353427887,232.66987705230713,,27.736393213272095,639.8825957775116,16.675431489944458,0.07451939582824707,539.1130316257477,28.073057651519775,68.69355034828186,0.1628718376159668
0.5046767917912665,79,704.4211673736572,512.9206976890564,,30.061070203781128,674.2164041996002,17.974586486816406,0.14745378494262695,554.1208205223083,30.587950706481934,82.0671558380127,0.16021299362182617
0.45897622615588163,79,681.1843991279602,544.0800247192383,,34.16728448867798,646.8644330501556,22.654725313186646,0.07045888900756836,539.6059334278107,28.56238555908203,73.71895694732666,0.1526777744293213
0.4171916118810827,80,678.9756712913513,624.5520396232605,168.91801834106445,35.98070788383484,642.835177898407,24.671839237213135,0.09322404861450195,534.751796245575,29.645183086395264,73.5592954158783,0.16063475608825684
0.41098595223895923,80,698.2465319633484,419.9515290260315,,35.87952399253845,662.1672809123993,24.40327501296997,0.06879878044128418,540.2536609172821,34.3554790019989,82.576824426651,0.16071152687072754
0.40030488562628896,80,685.9722616672516,747.3665125370026,,38.02243661880493,647.7648196220398,26.73146891593933,0.034493446350097656,541.7920532226562,31.018717288970947,70.58073115348816,0.1594531536102295
0.3564394729963341,80,657.686101436615,828.0302948951721,,33.81541895866394,623.6584703922272,22.484990119934082,0.05523228645324707,522.3056209087372,28.502461433410645,69.45262432098389,0.16778278350830078
0.35582792682532083,80,683.4708249568939,437.6985297203064,215.9266595840454,32.962039947509766,650.4186449050903,21.66414189338684,0.13275718688964844,546.7963669300079,27.839211463928223,72.50128483772278,0.1646592617034912
0.3492113155295122,80,682.8883521556854,468.40791869163513,,32.932146072387695,649.6884229183197,21.700589418411255,0.14046478271484375,531.2573492527008,31.189981937408447,81.59560370445251,0.1602005958557129
0.34619041748194784,80,588.211588382721,477.18330216407776,,24.60823154449463,563.2775144577026,16.09518027305603,0.06865239143371582,464.1345844268799,26.35334801673889,68.13954830169678,0.08965206146240234
0.33798346486573677,80,745.9153740406036,469.0288314819336,,34.69198226928711,710.9258124828339,23.13324499130249,0.19479155540466309,601.0948224067688,25.444744110107422,78.63493943214417,0.1292428970336914
